Name,Hue (degrees),HSL.S (%),"HSL.L (%), HSV.S (%), HSV.V (%)"
Hunter green,129.0,28.0,29.0
Iceberg,207.0,52.0,63.0
Icterine,58.0,96.0,68.0
Iguana Green,126.0,36.0,59.0
Illuminating Emerald,164.0,49.0,38.0
Imperial,289.0,39.0,30.0
Imperial blue,226.0,100.0,29.0
Imperial purple,325.0,96.0,20.0
Imperial red,355.0,84.0,55.0
Inchworm,84.0,79.0,65.0
Independence,231.0,18.0,36.0
India green,115.0,89.0,28.0
Indian red,0.0,53.0,58.0
Indian yellow,35.0,71.0,62.0
Indigo,266.0,100.0,26.0
Indigo dye,230.0,88.0,30.0
Indigo (web),275.0,100.0,25.0
Infra Red,348.0,100.0,64.0
Interdimensional Blue,253.0,89.0,42.0
International Klein Blue,223.0,100.0,33.0
International orange (aerospace),19.0,100.0,50.0
International orange (engineering),3.0,88.0,39.0
International orange (Golden Gate Bridge),4.0,63.0,46.0
Iris,245.0,57.0,56.0
Irresistible,338.0,45.0,48.0
Isabelline,30.0,27.0,94.0
Islamic green,120.0,100.0,28.0
Italian sky blue,180.0,100.0,85.0
Ivory,60.0,100.0,97.0
Jade,158.0,100.0,33.0
Japanese carmine,355.0,59.0,39.0
Japanese indigo,189.0,31.0,22.0
Japanese violet,307.0,29.0,28.0
Jasmine,47.0,90.0,73.0
Jasper,359.0,66.0,54.0
Jazzberry jam,328.0,88.0,35.0
Jelly Bean,8.0,65.0,58.0
Jet,0.0,0.0,20.0
Jonquil,49.0,91.0,52.0
Jordy blue,213.0,79.0,74.0
June bud,73.0,64.0,60.0
Jungle green,163.0,61.0,42.0
Kelly green,101.0,78.0,41.0
Kenyan copper,12.0,92.0,25.0
Keppel,171.0,50.0,46.0
Key Lime,67.0,83.0,75.0
Khaki (HTML/CSS) (Khaki),37.0,29.0,67.0
Khaki (X11) (Light khaki),54.0,77.0,75.0
Kiwi,91.0,76.0,57.0
Kobe,12.0,71.0,31.0
Kobi,329.0,60.0,76.0
Kobicha,28.0,51.0,28.0
Kombu green,103.0,16.0,22.0
KSU Purple,266.0,55.0,33.0
KU Crimson,357.0,100.0,45.0
La Salle Green,141.0,88.0,25.0
Languid lavender,278.0,22.0,83.0
Lapis lazuli,210.0,61.0,38.0
Laser Lemon,60.0,100.0,70.0
Laurel green,95.0,17.0,67.0
Lava,355.0,86.0,44.0
Lavender (floral),275.0,57.0,68.0
Lavender (web),240.0,67.0,94.0
Lavender blue,240.0,100.0,90.0
Lavender blush,340.0,100.0,97.0
Lavender gray,245.0,12.0,79.0
Lavender indigo,265.0,79.0,63.0
Lavender magenta,300.0,76.0,72.0
Lavender mist,240.0,67.0,94.0
Lavender pink,332.0,91.0,83.0
Lavender purple,267.0,29.0,60.0
Lavender rose,316.0,92.0,81.0
Lawn green,90.0,100.0,49.0
Lemon,58.0,100.0,50.0
Lemon chiffon,54.0,100.0,90.0
Lemon curry,45.0,75.0,46.0
Lemon glacier,60.0,100.0,50.0
Lemon lime,67.0,100.0,50.0
Lemon meringue,47.0,76.0,85.0
Lemon yellow,56.0,100.0,65.0
Licorice,6.0,24.0,8.0
Liberty,236.0,33.0,49.0
Light apricot,28.0,95.0,84.0
Light blue,195.0,53.0,79.0
Light brown,28.0,72.0,41.0
Light carmine pink,355.0,72.0,65.0
Light cobalt blue,215.0,59.0,71.0
Light coral,0.0,79.0,72.0
Light cornflower blue,201.0,67.0,75.0
Light crimson,343.0,88.0,69.0
Light cyan,180.0,100.0,94.0
Light deep pink,318.0,100.0,68.0
Light French beige,38.0,40.0,64.0
Light fuchsia pink,305.0,91.0,75.0
Light goldenrod yellow,60.0,80.0,90.0
