Name,Hue (degrees)
Orange (Crayola),18.0
Orange (Pantone),21.0
Orange (RYB),36.0
Orange (web),39.0
Orange peel,37.0
Orange-red,16.0
Orange Soda,10.0
Orange-yellow,45.0
Orchid,302.0
Orchid pink,342.0
Orioles orange,15.0
Otter brown,30.0
Outer Space,191.0
Outrageous Orange,12.0
Oxford Blue,212.0
OU Crimson Red,0.0
Pacific Blue,191.0
Pakistan green,120.0
Palatinate blue,234.0
Palatinate purple,308.0
Pale aqua,206.0
Pale blue,180.0
Pale brown,30.0
Pale carmine,5.0
Pale cerulean,205.0
Pale chestnut,358.0
Pale copper,18.0
Pale cornflower blue,210.0
Pale cyan,200.0
Pale gold,34.0
Pale goldenrod,55.0
Pale green,120.0
Pale lavender,255.0
Pale magenta,310.0
Pale magenta-pink,330.0
Pale pink,354.0
Pale plum,300.0
Pale red-violet,340.0
Pale robin egg blue,169.0
Pale silver,21.0
Pale spring bud,59.0
Pale taupe,25.0
Pale turquoise,180.0
Pale violet,270.0
Pale violet-red,340.0
Palm Leaf,88.0
Pansy purple,329.0
Paolo Veronese green,168.0
Papaya whip,37.0
Paradise pink,347.0
Paris Green,140.0
Parrot Pink,353.0
Pastel blue,196.0
Pastel brown,28.0
Pastel gray,60.0
Pastel green,120.0
Pastel magenta,333.0
Pastel orange,35.0
Pastel pink,1.0
Pastel purple,295.0
Pastel red,3.0
Pastel violet,302.0
Pastel yellow,60.0
Patriarch,300.0
Payne's grey,206.0
Peach,39.0
Peach,26.0
Peach-orange,30.0
Peach puff,28.0
Peach-yellow,39.0
Pear,66.0
Pearl,42.0
Pearl Aqua,162.0
Pearly purple,316.0
Peridot,59.0
Periwinkle,240.0
Permanent Geranium Lake,0.0
Persian blue,229.0
Persian green,173.0
Persian indigo,258.0
Persian orange,26.0
Persian pink,329.0
Persian plum,0.0
Persian red,0.0
Persian rose,326.0
Persimmon,22.0
Peru,30.0
Pewter Blue,200.0
Phlox,292.0
Phthalo blue,233.0
Phthalo green,151.0
Picton blue,200.0
Pictorial carmine,338.0
Piggy pink,343.0
Pine green,175.0
Pineapple,289.0
Pink,350.0
Pink (Pantone),328.0
Pink Flamingo,300.0
Pink lace,319.0
Pink lavender,311.0
Pink-orange,20.0
Pink pearl,324.0
Pink raspberry,339.0
Pink Sherbet,346.0
Pistachio,96.0
Pixie Powder,260.0
Platinum,40.0
Plum,307.0
Plum (web),300.0
Plump Purple,251.0
Polished Pine,166.0
Pomp and Power,290.0
Popstar,350.0
Portland Orange,11.0
Powder blue,187.0
Princess Perfume,324.0
Princeton orange,26.0
Prune,0.0
Prussian blue,205.0
Psychedelic purple,292.0
Puce,345.0
Puce red,353.0
Pullman Brown (UPS Brown),33.0
Pullman Green,45.0
Pumpkin,24.0
Purple (HTML),300.0
Purple (Munsell),288.0
Purple (X11),277.0
Purple Heart,270.0
Purple mountain majesty,269.0
Purple navy,236.0
Purple pizzazz,312.0
Purple Plum,285.0
Purple taupe,311.0
Purpureus,288.0
Quartz,313.0
Queen blue,211.0
Queen pink,336.0
Quick Silver,0.0
Quinacridone magenta,338.0
Rackley,204.0
Radical Red,348.0
Raisin black,300.0
Rajah,29.0
Raspberry,337.0
Raspberry glace,343.0
Raspberry pink,330.0
Raspberry rose,338.0
Raw Sienna,24.0
Raw umber,33.0
Razzle dazzle rose,315.0
Razzmatazz,338.0
Razzmic Berry,308.0
Rebecca Purple,270.0
Red,0.0
Red (Crayola),347.0
Red (Munsell),345.0
Red (NCS),345.0
Red (Pantone),355.0
Red (pigment),358.0
Red (RYB),5.0
Red-brown,0.0
Red devil,353.0
Red-orange,3.0
Red-purple,328.0
Red Salsa,355.0
Red-violet,322.0
Redwood,6.0
Regalia,267.0
Registration black,0.0
Resolution blue,224.0
Rhythm,242.0
Rich black,180.0
